Account,Level,Account Name,Account Title,Standard Cost Equation?,Count Scaling Variable,Count per Variable,Optional Variable,Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
10,0,Capitalized Pre-Construction Costs,Capitalized Pre-Construction Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Land Cost,      Land Cost,standard,Constant,1,,,,3800,$/acres,Land Area,,acres,,2022,General,The average cost per acre for rural land in 2022 from the US Department of Agriculture,"Abou-Jaoude, A., Lohse, C. S., Larsen, L. M., Guaita, N., Trivedi, I., Joseck, F. C., ... & Stein, A. (2024). Meta-analysis of advanced nuclear reactor cost estimations (No. INL/RPT-24-77048-Rev001). Idaho National Laboratory (INL), Idaho Falls, ID (United States).",https://inldigitallibrary.inl.gov/sites/sti/sti/Sort_107010.pdf,,No Learning,0,0,Lognormal,3420,4940,Lognormal,0.1,1,0,Truncated Normal
12,1,Site Permits,      Site Permits,standard,Constant,1,,,,10030,$/MWe,Power MWe,,MWe,,2022,Labor,Data from SMR MHTGRs,,,,No Learning,0,0,Lognormal,9027,13039,Lognormal,0.1,1,0,Truncated Normal
13,1,Plant Licensing,      Plant Licensing,standard,Constant,1,,,57500000,,,,,,,2009,Labor,NGNP project,"Gandrik, A., B. Wallace, L. Demick, S. Melancon and M. Patterson (2011). ""Assessment of high temperature gas-cooled reactor (HTGR) capital and operating costs."" Idaho National Laboratory, TEV-1196, Idaho Falls, ID.",https://art.inl.gov/NGNP/INL%20Documents/Year%202012/Assessment%20of%20High%20Temperature%20Gas-Cooled%20Reactor%20-%20HTGR%20-%20Capital%20and%20Operating%20Costs.pdf,,No Learning,45000000,70000000,Uniform,0,0,Lognormal,0.1,1,0,Truncated Normal
14,1,Plant Permits,      Plant Permits,standard,Constant,1,,,3000000,,,,,,,2009,Labor,NGNP project,,,,No Learning,2700000,4500000,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
15,1,Plant Studies,      Plant Studies,standard,Constant,1,,,5210451,,,,,,,2024,Labor,MARVEL Project (Labor-adjusted Cost),"Hanna, B. N., Gonzaga de Oliveira, R. G., Mohammad Al Dawood, K. A., Patterson, M. D., Abou Jaoude, A., & Garcia, S. (2024). Technoeconomic Evaluation of Microreactor Using Detailed Bottom-up Estimate (No. INL/RPT-24-80433-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).",https://inldigitallibrary.inl.gov/sites/sti/sti/Sort_129862.pdf,MARVEL's data were updated,No Learning,4689405.9,7815676.5,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
20,0,Capitalized Direct Costs,Capitalized Direct Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,Structures and Improvements,      Structures and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,Site Preparation/ Yard Work,            Site Preparation/ Yard Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211.1,3,Cleaning and Grubbing,                  Cleaning and Grubbing,standard,Constant,1,,,,5862.879400000001,$/acres,Land Area,,acres,,2024,Lab and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,5276.591460000001,7621.743220000001,Lognormal,0.1,1,0,Truncated Normal
211.2,3,Stripping Topsoil,                  Stripping Topsoil,standard,Constant,1,,,,3411.716,$/acres,Land Area,,acres,,2024,Lab and Equip,,,,,No Learning,0,0,Lognormal,3070.5443999999998,4435.2308,Lognormal,0.1,1,0,Truncated Normal
211.3,3,Excavation,                  Excavation,standard,Constant,1,,,,32.004,$/m^3,Excavation Volume,,m^3,,2024,Lab and Equip,,,,,No Learning,0,0,Lognormal,28.8036,41.605199999999996,Lognormal,0.1,1,0,Truncated Normal
211.4,3,Roadwork,                  Roadwork,standard,Constant,1,,,,,,,,,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
211.9,3,Security Fencing,                  Security Fencing,standard,Constant,1,,,,246.06299212598424,$/m,Site Perimeter,,,,2009,Lab and Equip,Ref Table 2-8,Kessler. Cost Estimate for an Away-From-Reactor Generic Interim Storage Facility (GISF) for Spent Nuclear Fuel. EPRI. 2009.,https://www.epri.com/research/products/1018722,,No Learning,0,0,Lognormal,221.4566929133858,319.8818897637795,Lognormal,0.1,1,0,Truncated Normal
213,2,Manufacturing Facility,            Manufacturing Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.1,3,Fabrication Building,                  Fabrication Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.11,4,Fabrication Building Roof,                        Fabrication Building Roof,standard,Constant,1,,,,1200,$/m^3,Fabrication Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.12,4,Fabrication Building Basement,                        Fabrication Building Basement,standard,Constant,1,,,,943.9,$/m^3,Fabrication Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.13,4,Fabrication Building Walls,                        Fabrication Building Walls,standard,Constant,1,,,,721.21,$/m^3,Fabrication Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.19,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Fabrication Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
213.2,3,Feed and Product Warehouse Building,                  Feed and Product Warehouse Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.21,4,Feed and Product Warehouse Building Roof,                        Feed and Product Warehouse Building Roof,standard,Constant,1,,,,1200,$/m^3,Feed and Product Warehouse Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.22,4,Feed and Product Warehouse Building Basement,                        Feed and Product Warehouse Building Basement,standard,Constant,1,,,,943.9,$/m^3,Feed and Product Warehouse Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.23,4,Feed and Product Warehouse Building Walls,                        Feed and Product Warehouse Building Walls,standard,Constant,1,,,,721.21,$/m^3,Feed and Product Warehouse Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.29,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Feed and Product Warehouse Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
213.6,3,Manufacturing Facility Integrated Control Building,                  Manufacturing Facility Integrated Control Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.61,4,Manufacturing Facility Integrated Control Building Roof,                        Manufacturing Facility Integrated Control Building Roof,standard,Constant,1,,,,1200,$/m^3,Manufacturing Facility Integrated Control Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.62,4,Manufacturing Facility Integrated Control Building Basement,                        Manufacturing Facility Integrated Control Building Basement,standard,Constant,1,,,,943.9,$/m^3,Manufacturing Facility Integrated Control Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.63,4,Manufacturing Facility Integrated Control Building Walls,                        Manufacturing Facility Integrated Control Building Walls,standard,Constant,1,,,,721.21,$/m^3,Manufacturing Facility Integrated Control Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.69,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Manufacturing Facility Integrated Control Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
213.7,3,Manufacturing Facility Admin Building,                  Manufacturing Facility Admin Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
