Year,General,Labor,Material,Equipment,Lab and Mat and Equip,Lab and Equip
1978,3.1209,4.2536,3.8110000000000004,5.3954,4.486666666666667,4.8245000000000005
1985,2.538009985980274,3.3122862823061627,3.1461261021151308,4.060396854356721,3.5062697462593384,3.686341568331442
1986,2.4877975582000915,3.20862782859894,3.152476484744973,3.957082035561005,3.4393954496349726,3.5828549320799725
1987,2.4278242538033323,3.111260504201681,3.089163149486497,3.9210211421628185,3.373814931950332,3.5161408231822495
1988,2.3451469298145935,2.989825033647375,2.9257907342027525,3.7360351953690305,3.2172169877397194,3.3629301145082025
1989,2.256518255453893,2.8925,2.8323254237288134,3.5114258977149078,3.0787504404812402,3.201962948857454
1990,2.1749312244700096,2.7652780082987554,2.8289709906646228,3.4175275615567915,3.00392552017339,3.0914027849277734
1991,2.103917007845759,2.656165803108809,2.81095456181642,3.3052945650086425,2.924138309977957,2.980730184058726
1992,2.0570924604282124,2.5740903823870216,2.7621964220121074,3.169357706709226,2.835214837036118,2.871724044548124
1993,2.0094226515033498,2.49226626776365,2.63135365474339,2.993506864564008,2.7057089290236824,2.742886566163829
1994,1.9674319707138495,2.403288856833753,2.528144041837878,2.9062257345491385,2.6125528777402565,2.6547572956914456
1995,1.9269731760698572,2.3615591778880223,2.4372516415581296,2.8565425394190873,2.5517844529550797,2.609050858653555
1996,1.8923762750283335,2.3036017974421017,2.4234333731200772,2.795755165692008,2.5075967787513953,2.549678481567055
1997,1.8602733048250197,2.2446345570899293,2.381784831954954,2.7305519276534986,2.4523237722327944,2.487593242371714
1998,1.8396117820303,2.177170859196341,2.39343685017093,2.6719109087145525,2.4141728726939413,2.424540883955447
1999,1.8139669369185658,2.104965255843336,2.3703840756523262,2.655011384789428,2.3767869054283635,2.379988320316382
2000,1.7737677053824359,2.0073253012048196,2.3476354049835226,2.626914596794709,2.3272917676610168,2.317119948999764
2001,1.7346114484363127,1.917238204833142,2.369692436974789,2.543323304270725,2.276751315359552,2.2302807545519334
2002,1.7080973994802269,1.8542904841402346,2.3498090156819624,2.519740686154898,2.241280061992365,2.187015585147566
2003,1.6751332309520488,1.79052122514777,2.3002917124568065,2.477424614941701,2.189412517515426,2.1339729200447355
2004,1.6312740609586438,1.7391231732776615,2.095631398049234,2.385841985120835,2.0735321854825766,2.0624825791992483
2005,1.581641483116445,1.6833341752967916,1.9957266230893989,2.2928196811581327,1.9906268265147744,1.9880769282274622
2006,1.5342735134234977,1.6286217008797654,1.8774353691802672,2.1163260400868955,1.8741277033823094,1.8724738704833306
2007,1.4938223763832508,1.567337723424271,1.8473704381056368,1.9426595831138538,1.7857892482145872,1.7549986532690625
2008,1.465466206524363,1.5132425068119892,1.7226084757985836,1.8946134742404235,1.710154818950332,1.7039279905262064
2009,1.4565465062771543,1.4969272237196765,1.7887780097793047,1.8701827875977977,1.7186293403655928,1.6835550056587372
2010,1.4391051953340734,1.48096,1.7398050385604107,1.881770041548218,1.7008450267028763,1.681365020774109
2011,1.410005547766819,1.46532981530343,1.682496357986327,1.804179411559159,1.6506685282829718,1.6347546134312945
2012,1.3842025680512111,1.4424935064935065,1.6440766670715414,1.686714135441508,1.591094769668852,1.5646038209675073
2013,1.3610697788529236,1.413129770992366,1.6169732648429098,1.6270248440158814,1.5523759599503857,1.5200773075041236
2014,1.3377880342057635,1.3930434782608698,1.5779532758218697,1.5664099993932403,1.5124689178253268,1.479726738827055
2015,1.3254431765050427,1.3645208845208845,1.5846653502439025,1.5228434272231235,1.4906765539959703,1.443682155872004
2016,1.3129865046787002,1.3360705693664796,1.5820722951649981,1.5002326359832638,1.472791833504914,1.4181516026748717
2017,1.2899128956447818,1.3036619718309856,1.5267530022182951,1.4653613282247768,1.4319254340913525,1.3845116500278811
2018,1.2609998753516423,1.268910891089109,1.4353852810180274,1.4135685922356678,1.372621588114268,1.3412397416623882
2019,1.2401941276155908,1.2304874446085676,1.435537511931276,1.3779926445861912,1.3480058670420119,1.3042400445973794
2020,1.224159975703738,1.1968965517241377,1.414781185980068,1.3590946670176363,1.3235908015739473,1.2779956093708869
2021,1.1706180273675468,1.1618410041841003,1.1152862890567385,1.2994960627780956,1.1922077853396449,1.230668533481098
2022,1.093413865523957,1.1166756032171583,0.990802740289562,1.1498296122510112,1.0857693185859105,1.1332526077340848
2023,1.0549612726454833,1.0707455012853477,1.0199168133484435,1.0652117467060798,1.0519580204466237,1.0679786239957139
2024,1.03,1.04,1.03,1.06,1.0433333333333334,1.05
2025,1,1,1,1,1,1
